test_id,agent_name,query,first_run_time,second_run_time,speedup,cache_benefit_seconds
13,Simple Agent,What is the Direct Loan Program about?,7.213892221450806,3.1708242893218994,2.275084193641503,4.043067932128906
13,Helpfulness Agent,What is the Direct Loan Program about?,5.4432878494262695,7.3651628494262695,0.7390587228971169,-1.921875
14,Simple Agent,What is the main purpose of the Direct Loan Program?,2.0097179412841797,1.750741958618164,1.1479235597177448,0.2589759826660156
14,Helpfulness Agent,What is the main purpose of the Direct Loan Program?,2.164161205291748,4.5665647983551025,0.47391448514456397,-2.4024035930633545
15,Simple Agent,Tell me about the Direct Loan Program purpose,3.0745809078216553,1.6083028316497803,1.9116927778257917,1.466278076171875
15,Helpfulness Agent,Tell me about the Direct Loan Program purpose,4.40858006477356,1.9069898128509521,2.311800532475172,2.5015902519226074
16,Simple Agent,What are the latest AI safety developments?,10.342221021652222,10.598448276519775,0.9758240783761516,-0.2562272548675537
16,Helpfulness Agent,What are the latest AI safety developments?,13.582726001739502,11.576801776885986,1.1732710176361925,2.0059242248535156
17,Simple Agent,What are the latest developments in AI safety regulations in 2024?,9.895479202270508,10.63436508178711,0.9305190414440397,-0.7388858795166016
17,Helpfulness Agent,What are the latest developments in AI safety regulations in 2024?,18.955844163894653,28.569567918777466,0.6634977545962761,-9.613723754882812
